reparatie           	r@pa:ra:ti          	r@pA*rAti           
repliceerende       	r@plis@r@nd@        	r@plIk@r@nd@        
replycq             	r@plik              	r@plIkk             
reputatie           	r@pyta:ti           	r@pYtAti            
requirant           	r@kwirAnt           	r@kwI*rAnt          
respective          	r@sp@ktiv@          	r@sp@ktIv@          
resterende          	r@st@r@nd@          	r@st@@nd@           
resumeeren          	r@sym@r@n           	r@sYm@r@n           
ruchtbaer           	rYxtba:r            	rAxtba:r            
ryksdaalders        	rIksda:ld@rs        	rIksda:ld@s         
salaris             	sa:la:rIs           	sAlA*rIs            
samen               	sa:m@n              	sAm@n               
sandlooper          	sAndlo:p@r          	sAndlo:p@           
schabieus           	sxa:bi2:s           	sxAbiYs             
schabreuse          	sxa:br2:s@          	sxAbr@s@            
schade              	sxa:d@              	sxAd@               
schampere           	sxAmp@r@            	sxAmp@@             
scharrebier         	sxArr@bir           	sxA*rr@bir          
scheelden           	sx@ld@n             	sx@@ld@n            
scheelen            	sx@l@n              	sx@@l@n             
scheelt             	sx@lt               	sx@@lt              
scheepens           	sx@p@ns             	sx@@p@ns            
scheeren            	sx@@n               	sx@@@n              
scheijen            	sxEi@n              	sx@i@n              
schelmerijen        	sx@lm@rEi@n         	sx@lm@i@n           
scheuren            	sx@2:r@n            	sx@A*r@n            
scheurt             	sx@2:rt             	sx@A*rt             
scheystok           	sxEistOk            	sx@IstOk            
schoonder           	sxo:nd@r            	sxo:nd@             
schooon             	sxo:n               	sxo:On              
schoothondjen       	sxo:thOndj@n        	sxo:tOndj@n         
schort              	sxOrt               	sxO*rt              
schouburg           	sxAubYrx            	sxAubA*rx           
schouderen          	sxAud@r@n           	sxAud@@n            
