gevonden            	x@vOnd@n            
geween              	x@w@n               
geweest             	x@w@st              
geweeten            	x@w@t@n             
geweld              	x@w@lt              
gewis               	x@wIs               
gewonnen            	x@wOn@n             
gezegt              	x@z@xt              
gezelschap          	x@z@lsxAp           
gezet               	x@z@t               
gezicht             	x@zIxt              
gezien              	x@zin               
gien                	xin                 
ging                	xIN                 
gissen              	xIs@n               
gistren             	xIstr@n             
glas                	xlAs                
goe                 	xu                  
goed                	xut                 
goede               	xud@                
goeje               	xuj@                
gong                	xON                 
gooit               	xo:it               
goosens             	xo:s@ns             
graag               	xra:x               
gracy               	xrAs                
graeg               	xra:x               
grauwt              	xrAuwt              
greep               	xr@p                
grillen             	xrIl@n              
grimlacht           	xrImlAxt            
grimmeld            	xrIm@lt             
groen               	xrun                
grof                	xrOf                
grond               	xrOnt               
gronden             	xrOnd@n             
grondig             	xrOndIg             
groot               	xro:t               
groote              	xro:t@              
grootjes            	xro:tj@s            
grootte             	xro:t@              
grote               	xrOt@               
grouwen             	xrAuw@n             
grypen              	xrip@n              
guil                	x9yl                
guilen              	x9yl@n              
guldens             	xYld@ns             
gun                 	xYn                 
gunst               	xYnst               
gy                  	xi                  
haalt               	ha:lt               
haamlebout          	ha:ml@bAut          
haan                	ha:n                
haantje             	ha:ntj@             
haar                	ha:r                
haard               	ha:rt               
haare               	ha:r@               
haarig              	ha:rIg              
haast               	ha:st               
haazepad            	ha:z@pAt            
had                 	hAt                 
hadden              	hAd@n               
haelen              	ha:l@n              
haer                	ha:r                
haeren              	ha:r@n              
haest               	ha:st               
haestig             	ha:stIg             
half                	hAlf                
hallef              	hAl@f               
hals                	hAls                
hand                	hAnt                
handen              	hAnd@n              
hangen              	hAN@n               
hanggat             	hANxAt              
hangoor             	hANo:r              
hans                	hAns                
hapt                	hApt                
he                  	h@                  
heb                 	h@p                 
hebbe               	h@b@                
hebben              	h@b@n               
hebbende            	h@b@nd@             
hebj                	h@bj                
hebje               	h@bj@               
hebt                	h@pt                
hebze               	h@bz@               
heeft               	h@ft                
heel                	h@l                 
heele               	h@l@                
heelen              	h@l@n               
heemel              	h@m@l               
heen                	h@n                 
heenen              	h@n@n               
heer                	h@r                 
heeren              	h@r@n               
heerschip           	h@rsxIp             
heggen              	h@x@n               
hek                 	h@k                 
helaas              	h@la:s              
help                	h@lp                
helpen              	h@lp@n              
helpje              	h@lpj@              
helpt               	h@lpt               
hem                 	h@m                 
hen                 	h@n                 
hendrik             	h@ndrIk             
het                 	h@t                 
hiel                	hil                 
hiele               	hil@                
hier                	hir                 
hikkende            	hIkk@nd@            
ho                  	ho:                 
hoe                 	hu                  
hoed                	hut                 
hoedraakt           	hudra:kt            
hoeft               	huft                
hoer                	hur                 
hoertje             	hurtj@              
hoesen              	hus@n               
hoewel              	huw@l               
hof                 	hOf                 
holland             	hOlAnt              
hond                	hOnt                
hoofd               	ho:ft               
hooft               	ho:ft               
hoog                	ho:x                
hoogen              	ho:x@n              
hoogsten            	ho:xst@n            
hoopen              	ho:p@n              
hoor                	ho:r                
hooren              	ho:r@n              
hoort               	ho:rt               
hooy                	ho:i                
hop                 	hOp                 
hou                 	hAu                 
houd                	hAut                
houden              	hAud@n              
houdende            	hAud@nd@            
